SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O										
38.06800	0.97100	11.10000	0.00200	14.23900	1.03400	0.14900	33.91400	0.01400										
37.96000	0.99400	10.90500	0.00900	14.35400	1.06200	0.12800	33.79000	0.02300										
37.81300	1.00500	10.21800	0.03200	15.04600	0.98000	0.12900	33.50600	0.00000										
37.81100	1.09000	10.53500	0.01200	14.88300	1.01500	0.14600	33.57900	0.00000										
37.82700	0.81100	10.47400	0.01700	15.09600	0.95200	0.12800	33.66400	0.00000										
37.94800	0.78300	10.45300	0.01700	15.00900	0.98900	0.12400	33.66500	0.00200										
37.66700	1.40200	9.81500	0.02500	15.23600	1.04000	0.14500	33.47700	0.02800										
37.57500	1.53400	9.28200	0.01600	16.03700	1.00200	0.13800	33.31800	0.00000										
37.47600	1.28800	9.12700	0.01200	16.33200	0.97500	0.11100	33.33400	0.01000										
37.75200	0.88300	9.78900	0.01800	15.87600	1.02300	0.11500	33.50400	0.00000										
38.01300	0.39500	10.59900	0.00900	15.42400	0.99900	0.08800	33.46600	0.00200										
38.28100	0.45100	11.66800	0.00600	13.82100	1.05400	0.12000	33.78700	0.00100										
38.35100	0.62700	10.72200	0.00000	15.02000	1.06600	0.11200	33.57500	0.00000										
38.06300	0.54700	11.16600	0.00800	14.49100	1.06900	0.12700	33.70400	0.00000										
37.86700	1.03900	10.08100	0.00500	15.50700	1.01600	0.11800	33.52500	0.00000										
37.72700	1.03700	9.48100	0.00000	16.20700	0.99300	0.10900	33.54500	0.00300										
38.15300	0.80600	11.05000	0.02200	14.36900	1.02500	0.13800	33.57100	0.00100										
38.49100	0.20000	12.47900	0.01700	13.22000	1.06200	0.11100	33.86400	0.01500										
38.63400	0.54000	12.91400	0.00000	12.42900	1.15400	0.17400	33.75800	0.00300										
38.04100	0.65400	10.98000	0.02700	14.62600	0.98500	0.12300	33.61800	0.00000										
37.69200	1.28300	10.03000	0.03400	15.07400	1.00100	0.14300	33.49900	0.00800										
37.65400	1.29700	10.04300	0.00700	15.25200	1.00800	0.13900	33.56700	0.01200										
38.36800	0.22400	11.92300	0.00000	13.78600	1.06300	0.10400	33.75600	0.00000										
37.85800	1.31000	10.97900	0.02500	13.94400	1.06800	0.17200	33.77700	0.00000										
37.96400	1.01700	10.69100	0.03000	14.42700	1.03500	0.15100	33.75900	0.00000										
37.81500	0.99900	10.55000	0.00000	14.74500	1.02400	0.14100	33.46200	0.00100										
37.90700	0.62900	10.47800	0.02800	15.13000	1.00900	0.09000	33.49600	0.00400										
38.01200	0.37400	10.99100	0.02300	14.66300	1.01700	0.09400	33.59000	0.00300										
37.59100	1.33700	9.65900	0.01800	15.55200	1.04100	0.13100	33.59600	0.00500										
37.60000	1.04400	9.34700	0.04100	16.33600	1.02100	0.09600	33.19200	0.00000										
37.39500	1.17800	9.79300	0.02700	15.97900	1.00300	0.11300	33.30400	0.00700										
37.60100	1.00000	9.65600	0.00700	16.02500	1.02900	0.10000	33.34300	0.01300										
37.61500	1.09700	9.64700	0.00000	16.08800	0.99200	0.10700	33.46400	0.00300										
37.69900	1.02100	9.91400	0.04100	15.73300	0.99700	0.11900	33.40700	0.00000										
37.57200	1.25900	9.66700	0.00900	16.01500	0.97700	0.12700	33.45800	0.00000										
37.37600	1.35100	9.77700	0.03300	15.78400	1.04400	0.13200	33.50900	0.00100										
37.74200	1.25500	9.71700	0.01700	15.71700	1.03800	0.11400	33.44000	0.00700										
37.80700	0.88200	9.99000	0.00000	15.77800	1.03300	0.09500	33.46000	0.01200										
37.66700	0.95200	9.98200	0.00000	15.78700	0.97200	0.11000	33.46400	0.00000										
37.68300	0.90900	10.09100	0.00100	15.54000	1.08200	0.10100	33.12500	0.00900										
37.75900	0.86500	10.15400	0.01900	15.65800	1.02800	0.10500	33.41700	0.00500										
37.35600	1.42000	8.49600	0.00500	16.94000	0.91600	0.11500	33.30400	0.00800										
37.49400	1.17500	9.21800	0.01200	16.58200	0.98200	0.11500	33.33000	0.01100										
37.51200	1.33200	9.08500	0.02600	16.59300	0.93400	0.10700	33.50500	0.00500										
37.33800	1.34800	8.39300	0.03900	17.27400	0.92500	0.09800	33.44100	0.00000										
37.97900	0.48400	10.84300	0.02000	15.17400	1.02100	0.11000	33.58700	0.00900										
37.27000	1.48100	8.68300	0.02500	16.64400	0.85900	0.11800	33.44100	0.00800										
37.68500	1.08000	9.53300	0.00000	16.05100	0.93400	0.10400	33.47800	0.00500										
37.43800	1.22400	9.01100	0.00500	16.64100	0.95100	0.11000	33.34700	0.00200										
37.52200	1.36900	9.42100	0.01500	16.17000	1.06600	0.12400	33.39600	0.01400										
37.20500	1.57600	8.17500	0.00400	17.46800	0.89300	0.10400	33.34300	0.02600										
37.42000	0.93400	8.71600	0.01600	16.99700	0.91200	0.09000	33.34400	0.00600										
37.50500	1.37500	8.80800	0.01400	16.87200	0.98300	0.09600	33.59800	0.00900										
38.15100	0.34500	11.14700	0.03900	14.75700	0.99400	0.09100	33.75500	0.00200										
38.40700	0.34800	12.60400	0.00900	13.01400	1.16700	0.14100	33.77600	0.00000										
38.80200	0.32800	13.75000	0.02000	11.63800	1.20000	0.17200	33.83700	0.00000										
38.74300	0.60900	13.21600	0.00400	11.91700	1.27800	0.16200	33.79700	0.00000										
37.99000	1.48600	10.71200	0.02200	14.29800	1.08100	0.17300	33.73300	0.00700										
38.50200	0.28100	12.42100	0.00500	13.16900	1.07500	0.12300	33.78800	0.00800										
37.83500	1.38000	11.72400	0.03800	13.18500	1.13900	0.17300	33.79000	0.00100										
38.22200	0.49000	12.01100	0.01000	13.41300	1.06500	0.13700	33.61800	0.01100										
39.16200	0.24600	15.88000	0.00000	8.56200	1.28100	0.27000	34.32900	0.00700										
39.38000	0.37100	16.54300	0.00500	7.79900	1.39900	0.30200	34.60000	0.00000										
37.63300	1.52600	9.26400	0.03000	15.94900	0.95400	0.13500	33.38200	0.00900										
37.63500	1.18700	9.40300	0.01500	16.14200	0.97000	0.12900	33.47700	0.00100										
39.26700	0.36400	16.47900	0.02300	7.82500	1.34300	0.33300	34.63200	0.00000										
39.33200	0.29300	16.52300	0.00800	7.86400	1.32500	0.28600	34.57600	0.00000										
39.04100	0.51200	15.62400	0.00000	8.48500	1.34800	0.30200	34.42100	0.01000										
39.13600	0.61200	16.00400	0.03100	8.14400	1.32400	0.35400	34.32800	0.00000										
38.88300	0.84400	15.15100	0.01200	8.98000	1.39500	0.35800	34.26200	0.00100										
39.13100	0.35700	16.00600	0.01700	8.50200	1.45000	0.39700	34.19500	0.00800										
39.21600	0.34000	16.30800	0.00000	8.43300	1.27700	0.30400	34.37100	0.01000										
38.86900	0.44600	16.19900	0.01000	7.74500	1.33800	0.45100	33.74700	0.00300										
38.50700	0.85100	14.12800	0.01800	10.50300	1.31200	0.34900	33.82400	0.00000										
38.13000	1.02600	11.50100	0.02800	13.99200	1.18900	0.18300	33.69000	0.00000										
38.14300	1.33200	9.66100	0.04500	15.57800	1.04200	0.14900	33.33500	0.00000										
38.56100	0.57300	13.60400	0.00000	11.64500	1.12100	0.41300	33.79000	0.00000										
37.86900	1.38900	10.93000	0.03700	14.14200	1.11600	0.23000	33.75600	0.00900										
37.72800	1.38600	10.63100	0.02200	14.01000	1.17100	0.16000	33.75800	0.00000										
38.21900	1.34800	11.78700	0.00000	13.12200	1.06900	0.28800	34.14900	0.00500										
38.40600	1.18300	11.96800	0.04700	12.85700	1.06800	0.32700	34.09800	0.00000										
37.60900	1.08200	9.02600	0.01500	16.63700	0.92300	0.13500	33.73000	0.01900										
37.30100	1.47800	7.78800	0.05100	17.87300	0.87300	0.12200	33.66600	0.00200										
36.99400	1.38800	7.08500	0.02000	18.76900	0.87400	0.10100	33.20000	0.00000										
37.34400	1.20300	8.64300	0.05800	17.03200	0.92400	0.11200	33.55500	0.01100										
37.59400	1.07900	9.80000	0.01200	15.71600	0.94500	0.14000	33.73100	0.00000										
38.48700	0.34800	13.22800	0.01800	12.14300	1.17400	0.15200	34.05300	0.00000										
37.47100	1.57600	8.42400	0.04300	16.82200	0.88500	0.14500	33.68100	0.00600										
38.68600	0.18200	13.48100	0.02700	12.09100	1.13600	0.14900	34.07600	0.00000										
37.33100	1.51800	8.54500	0.07400	16.79500	0.91900	0.14900	33.72200	0.01700										
37.71900	1.19400	9.57300	0.00600	16.08500	0.91400	0.13500	33.67200	0.00200										
38.53200	0.25800	13.05600	0.01500	12.84800	1.17000	0.14400	33.99900	0.00500										
38.69200	0.20900	14.43900	0.01300	10.85200	1.14700	0.19400	34.11100	0.00000										
37.88000	1.10100	10.61800	0.02500	14.78400	1.10300	0.14900	33.41100	0.02500										
37.95000	1.00100	10.54500	0.01200	14.61800	0.93600	0.16400	33.82200	0.02000										
38.00200	1.29300	11.68700	0.03200	13.09400	0.98500	0.21200	33.98800	0.00000										
38.53800	0.60400	13.76900	0.00700	11.07800	1.14200	0.21800	34.23600	0.00000										
37.69900	1.23200	9.55800	0.06800	15.73700	1.01000	0.14800	33.38700	0.00900										
38.19600	0.90200	11.58500	0.02300	13.36500	1.08800	0.17700	34.01100	0.00000										
38.83100	0.27800	14.05000	0.02100	10.92800	1.14300	0.19700	33.90000	0.00000										
38.00400	1.09500	12.91600	0.00000	12.12000	1.11800	0.20700	33.84200	0.00000										
38.12300	0.95300	12.71000	0.01400	12.46000	1.23000	0.19700	33.86600	0.01600										
38.70800	0.66400	13.89600	0.00700	11.09400	1.18300	0.21800	34.25000	0.00000										
38.58900	0.90400	13.57200	0.00300	11.20400	1.20000	0.25200	34.23500	0.00000										
38.59000	0.68100	13.63500	0.04200	11.38200	1.12100	0.26000	34.20900	0.00000										
38.31300	1.02900	12.41200	0.03200	12.61800	1.12700	0.22300	33.99700	0.00300										
39.25400	0.19400	16.52600	0.00400	8.28500	1.38900	0.46100	34.01300	0.00700										
38.01600	0.74300	10.41600	0.03700	15.25700	0.93500	0.15600	33.78200	0.00600										
38.45500	0.33500	12.12300	0.02500	13.53600	1.10600	0.15100	33.86600	0.00000										
38.24000	0.53800	11.61300	0.01600	14.07400	0.99900	0.16900	34.05800	0.00200										
38.65900	0.34200	12.73200	0.00600	13.23700	1.20700	0.15300	34.05700	0.00800										
38.20200	0.74100	11.12900	0.02400	14.87200	1.18700	0.11700	33.59600	0.02100										
37.97600	0.79400	9.84900	0.02400	16.42700	1.02600	0.12200	33.66800	0.00000										
37.94100	0.78900	9.76700	0.03200	16.23400	1.05400	0.11200	33.66500	0.00000										
38.14300	0.49200	11.21100	0.01300	14.88700	1.19000	0.13200	33.78300	0.01000										
39.24300	0.45800	16.72300	0.00600	7.71300	1.35400	0.06900	34.94900	0.01400										
39.03000	0.35500	15.67700	0.01000	9.36100	1.73700	0.38600	33.74800	0.00000										
38.82100	0.26400	14.16500	0.00000	11.25600	1.40600	0.29600	33.79700	0.00100										
38.05300	0.42300	11.16700	0.00000	14.43600	1.41400	0.16900	33.45600	0.00000										
38.45900	0.25800	12.62200	0.03700	12.61700	1.09500	0.15100	34.22200	0.00000										
37.66900	0.62000	9.82600	0.02100	15.92600	1.00900	0.09700	33.56600	0.00700										
38.18900	0.36000	11.88300	0.00600	13.37400	1.03200	0.12600	33.96000	0.00000										
39.46000	0.13000	18.03800	0.01200	6.48800	1.90500	0.16700	34.21600	0.00000										
38.06100	0.23000	9.33300	0.00000	17.21600	0.99000	0.09700	33.75000	0.00000										
